date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:51:42	109/109	---M--	200	added ('OK')	text/plain	date:Mon,%2024%20Jul%202023%2008:51:41%20GMT	http://localhost/robots.txt		(from )
01:51:44	66111/66111	---MC-	200	added ('OK')	text/html	date:Mon,%2024%20Jul%202023%2008:51:42%20GMT	http://localhost/	C:/My%20Web%20Sites/LOCAL%202/localhost/index.html	(from )
01:52:00	42015/42015	---M--	200	added ('OK')	text/css	etag:%22a41f-6011fae1bdf3c%22	http://localhost/wp-content/themes/jannah/assets/css/base.min.css?ver=6.3.0	C:/My%20Web%20Sites/LOCAL%202/localhost/wp-content/themes/jannah/assets/css/base.mina086.css	(from http://localhost/)
01:52:00	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	C:/My%20Web%20Sites/LOCAL%202/ajax.googleapis.com/ajax/libs/webfont/1/webfont.js	(from http://localhost/)
01:52:01	154061/154061	---M--	200	added ('OK')	text/css	etag:%22259cd-6011fae1ece0b%22	http://localhost/wp-content/themes/jannah/assets/css/style.min.css?ver=6.3.0	C:/My%20Web%20Sites/LOCAL%202/localhost/wp-content/themes/jannah/assets/css/style.mina086.css	(from http://localhost/)
01:52:03	47790/47790	---M--	200	added ('OK')	text/css	etag:%22baae-6011fae1ed5f1%22	http://localhost/wp-content/themes/jannah/assets/css/widgets.min.css?ver=6.3.0	C:/My%20Web%20Sites/LOCAL%202/localhost/wp-content/themes/jannah/assets/css/widgets.mina086.css	(from http://localhost/)
01:52:03	708/708	---M--	200	added ('OK')	application/rss+xml	etag:%226e1a1a90b540ed2300db1886b8d110c7%22	http://localhost/comments/feed/	C:/My%20Web%20Sites/LOCAL%202/localhost/comments/feed/index.html	(from http://localhost/)
01:52:03	40199/40199	---M--	200	added ('OK')	text/css	etag:%229d07-6011fae1bef01%22	http://localhost/wp-content/themes/jannah/assets/css/helpers.min.css?ver=6.3.0	C:/My%20Web%20Sites/LOCAL%202/localhost/wp-content/themes/jannah/assets/css/helpers.mina086.css	(from http://localhost/)
01:52:05	58662/58662	---M--	200	added ('OK')	text/css	etag:%22e526-6011fae1be914%22	http://localhost/wp-content/themes/jannah/assets/css/fontawesome.css?ver=6.3.0	C:/My%20Web%20Sites/LOCAL%202/localhost/wp-content/themes/jannah/assets/css/fontawesomea086.css	(from http://localhost/)
01:52:07	12018/12018	---M--	200	added ('OK')	text/css	etag:%222ef2-6011fae1f790a%22	http://localhost/wp-content/themes/jannah/assets/ilightbox/dark-skin/skin.css?ver=6.3.0	C:/My%20Web%20Sites/LOCAL%202/localhost/wp-content/themes/jannah/assets/ilightbox/dark-skin/skina086.css	(from http://localhost/)
